Train with a buddy,"10,000 steps",Time your best plank,"Go out of your way to get extra exercise (take stairs, park in back of lot, etc.)",No processed foods
,45+ minutes resistance training,Log your water intake (aim for 100+ oz),Try a protein drink & share your favorite shake recipe,15 minute HIIT circuit,30+ minutes resistance training
,30+ minutes resistance training,Eat a healthy salad,,30+ minutes cardio,30+ minutes resistance training
,Get active in an unusual place,"15,000 steps",Max tricep dips,15 minute core strength workout,25+ minute walk
,Max push ups,30+ minutes resistance training,Yoga routine,20+ minutes cardio,Three home cooked healthy meals
,
,Max push ups,Yoga routine,30+ minutes resistance training,Get active in an unusual place,30+ minutes cardio
,Train with a buddy,25+ minute walk,Time your best plank,30+ minutes resistance training,Max tricep dips
,45+ minutes resistance training,30+ minutes resistance training,,Eat a healthy salad,Three home cooked healthy meals
,30+ minutes resistance training,"10,000 steps",Try a protein drink & share your favorite shake recipe,20+ minutes cardio,No processed foods
,15 minute HIIT circuit,"Go out of your way to get extra exercise (take stairs, park in back of lot, etc.)","15,000 steps",15 minute core strength workout,Log your water intake (aim for 100+ oz)
,
,15 minute HIIT circuit,Log your water intake (aim for 100+ oz),Try a protein drink & share your favorite shake recipe,Max tricep dips,30+ minutes resistance training
,15 minute core strength workout,Time your best plank,Three home cooked healthy meals,No processed foods,"10,000 steps"
,Get active in an unusual place,Max push ups,,30+ minutes cardio,Train with a buddy
,Eat a healthy salad,"Go out of your way to get extra exercise (take stairs, park in back of lot, etc.)","15,000 steps",Yoga routine,30+ minutes resistance training
,20+ minutes cardio,30+ minutes resistance training,25+ minute walk,45+ minutes resistance training,30+ minutes resistance training
,
,"10,000 steps",30+ minutes resistance training,30+ minutes resistance training,20+ minutes cardio,25+ minute walk
,15 minute HIIT circuit,Log your water intake (aim for 100+ oz),Max tricep dips,Train with a buddy,Max push ups
,"15,000 steps",Try a protein drink & share your favorite shake recipe,,Get active in an unusual place,Time your best plank
,30+ minutes resistance training,Eat a healthy salad,45+ minutes resistance training,Three home cooked healthy meals,No processed foods
,Yoga routine,30+ minutes cardio,"Go out of your way to get extra exercise (take stairs, park in back of lot, etc.)",15 minute core strength workout,30+ minutes resistance training
,
,Try a protein drink & share your favorite shake recipe,25+ minute walk,30+ minutes resistance training,30+ minutes resistance training,Train with a buddy
,Log your water intake (aim for 100+ oz),15 minute HIIT circuit,Three home cooked healthy meals,30+ minutes resistance training,20+ minutes cardio
,30+ minutes resistance training,Time your best plank,,Get active in an unusual place,Yoga routine
,"Go out of your way to get extra exercise (take stairs, park in back of lot, etc.)",Max push ups,Max tricep dips,"15,000 steps",45+ minutes resistance training
,"10,000 steps",30+ minutes cardio,Eat a healthy salad,15 minute core strength workout,No processed foods
,
,45+ minutes resistance training,20+ minutes cardio,Eat a healthy salad,"Go out of your way to get extra exercise (take stairs, park in back of lot, etc.)",30+ minutes resistance training
,15 minute HIIT circuit,30+ minutes resistance training,Three home cooked healthy meals,Max push ups,30+ minutes cardio
,25+ minute walk,Max tricep dips,,"15,000 steps",Yoga routine
,Train with a buddy,Get active in an unusual place,30+ minutes resistance training,30+ minutes resistance training,Time your best plank
,15 minute core strength workout,Try a protein drink & share your favorite shake recipe,Log your water intake (aim for 100+ oz),No processed foods,"10,000 steps"
,
,30+ minutes resistance training,No processed foods,Three home cooked healthy meals,45+ minutes resistance training,30+ minutes resistance training
,Get active in an unusual place,30+ minutes cardio,"Go out of your way to get extra exercise (take stairs, park in back of lot, etc.)","15,000 steps",Yoga routine
,Train with a buddy,30+ minutes resistance training,,15 minute HIIT circuit,Max tricep dips
,25+ minute walk,Try a protein drink & share your favorite shake recipe,15 minute core strength workout,20+ minutes cardio,Eat a healthy salad
,"10,000 steps",30+ minutes resistance training,Log your water intake (aim for 100+ oz),Max push ups,Time your best plank
,
,20+ minutes cardio,Get active in an unusual place,No processed foods,Yoga routine,"Go out of your way to get extra exercise (take stairs, park in back of lot, etc.)"
,Three home cooked healthy meals,Try a protein drink & share your favorite shake recipe,"15,000 steps",30+ minutes resistance training,30+ minutes resistance training
,Time your best plank,30+ minutes cardio,,Log your water intake (aim for 100+ oz),Train with a buddy
,Max tricep dips,45+ minutes resistance training,15 minute core strength workout,Max push ups,Eat a healthy salad
,15 minute HIIT circuit,30+ minutes resistance training,"10,000 steps",30+ minutes resistance training,25+ minute walk
,
,Max tricep dips,45+ minutes resistance training,"15,000 steps","Go out of your way to get extra exercise (take stairs, park in back of lot, etc.)",30+ minutes cardio
,"10,000 steps",30+ minutes resistance training,25+ minute walk,15 minute core strength workout,No processed foods
,20+ minutes cardio,30+ minutes resistance training,,Get active in an unusual place,Log your water intake (aim for 100+ oz)
,Max push ups,Yoga routine,Try a protein drink & share your favorite shake recipe,Time your best plank,Eat a healthy salad
,30+ minutes resistance training,Three home cooked healthy meals,30+ minutes resistance training,Train with a buddy,15 minute HIIT circuit
,
,"Go out of your way to get extra exercise (take stairs, park in back of lot, etc.)",25+ minute walk,20+ minutes cardio,Yoga routine,45+ minutes resistance training
,"15,000 steps",15 minute HIIT circuit,"10,000 steps",30+ minutes resistance training,30+ minutes cardio
,Eat a healthy salad,Max push ups,,No processed foods,Log your water intake (aim for 100+ oz)
,30+ minutes resistance training,15 minute core strength workout,Max tricep dips,Try a protein drink & share your favorite shake recipe,Get active in an unusual place
,30+ minutes resistance training,Train with a buddy,Three home cooked healthy meals,Time your best plank,30+ minutes resistance training
,
,20+ minutes cardio,15 minute core strength workout,No processed foods,45+ minutes resistance training,Try a protein drink & share your favorite shake recipe
,Get active in an unusual place,Three home cooked healthy meals,Time your best plank,25+ minute walk,Train with a buddy
,Max push ups,Yoga routine,,Log your water intake (aim for 100+ oz),Eat a healthy salad
,30+ minutes resistance training,30+ minutes resistance training,30+ minutes resistance training,15 minute HIIT circuit,30+ minutes cardio
,30+ minutes resistance training,"Go out of your way to get extra exercise (take stairs, park in back of lot, etc.)","10,000 steps","15,000 steps",Max tricep dips
,
,30+ minutes resistance training,Max tricep dips,"Go out of your way to get extra exercise (take stairs, park in back of lot, etc.)",30+ minutes resistance training,No processed foods
,Time your best plank,25+ minute walk,Try a protein drink & share your favorite shake recipe,Yoga routine,15 minute core strength workout
,Eat a healthy salad,Three home cooked healthy meals,,20+ minutes cardio,45+ minutes resistance training
,Max push ups,30+ minutes cardio,30+ minutes resistance training,15 minute HIIT circuit,30+ minutes resistance training
,Log your water intake (aim for 100+ oz),Get active in an unusual place,Train with a buddy,"15,000 steps","10,000 steps"
,
,30+ minutes resistance training,Train with a buddy,30+ minutes resistance training,No processed foods,"15,000 steps"
,Log your water intake (aim for 100+ oz),Eat a healthy salad,Max tricep dips,15 minute HIIT circuit,Time your best plank
,"Go out of your way to get extra exercise (take stairs, park in back of lot, etc.)",20+ minutes cardio,,Max push ups,Get active in an unusual place
,30+ minutes resistance training,Yoga routine,Try a protein drink & share your favorite shake recipe,25+ minute walk,30+ minutes resistance training
,"10,000 steps",Three home cooked healthy meals,45+ minutes resistance training,15 minute core strength workout,30+ minutes cardio
,
,No processed foods,Max push ups,Train with a buddy,30+ minutes resistance training,25+ minute walk
,"15,000 steps",30+ minutes resistance training,"Go out of your way to get extra exercise (take stairs, park in back of lot, etc.)",Try a protein drink & share your favorite shake recipe,30+ minutes cardio
,"10,000 steps",Max tricep dips,,30+ minutes resistance training,20+ minutes cardio
,Yoga routine,30+ minutes resistance training,Three home cooked healthy meals,Get active in an unusual place,45+ minutes resistance training
,15 minute core strength workout,Time your best plank,Eat a healthy salad,15 minute HIIT circuit,Log your water intake (aim for 100+ oz)
,
,"15,000 steps",25+ minute walk,Max tricep dips,No processed foods,20+ minutes cardio
,Time your best plank,30+ minutes resistance training,30+ minutes resistance training,15 minute core strength workout,Yoga routine
,Three home cooked healthy meals,15 minute HIIT circuit,,45+ minutes resistance training,Log your water intake (aim for 100+ oz)
,30+ minutes resistance training,"10,000 steps","Go out of your way to get extra exercise (take stairs, park in back of lot, etc.)",Try a protein drink & share your favorite shake recipe,30+ minutes resistance training
,Train with a buddy,Get active in an unusual place,Eat a healthy salad,Max push ups,30+ minutes cardio
,
,Max tricep dips,Time your best plank,Eat a healthy salad,"10,000 steps",45+ minutes resistance training
,Three home cooked healthy meals,Get active in an unusual place,"15,000 steps","Go out of your way to get extra exercise (take stairs, park in back of lot, etc.)",15 minute HIIT circuit
,20+ minutes cardio,15 minute core strength workout,,Log your water intake (aim for 100+ oz),30+ minutes cardio
,Yoga routine,30+ minutes resistance training,30+ minutes resistance training,No processed foods,Max push ups
,Train with a buddy,30+ minutes resistance training,25+ minute walk,Try a protein drink & share your favorite shake recipe,30+ minutes resistance training
,
,15 minute core strength workout,30+ minutes resistance training,"10,000 steps",Train with a buddy,Try a protein drink & share your favorite shake recipe
,20+ minutes cardio,Max push ups,15 minute HIIT circuit,Get active in an unusual place,45+ minutes resistance training
,"15,000 steps",Log your water intake (aim for 100+ oz),,Max tricep dips,Time your best plank
,Three home cooked healthy meals,Yoga routine,"Go out of your way to get extra exercise (take stairs, park in back of lot, etc.)",Eat a healthy salad,25+ minute walk
,30+ minutes resistance training,No processed foods,30+ minutes resistance training,30+ minutes cardio,30+ minutes resistance training
,
,"15,000 steps",Three home cooked healthy meals,Max tricep dips,30+ minutes resistance training,30+ minutes resistance training
,20+ minutes cardio,Time your best plank,"10,000 steps",30+ minutes resistance training,"Go out of your way to get extra exercise (take stairs, park in back of lot, etc.)"
,25+ minute walk,No processed foods,,Train with a buddy,Eat a healthy salad
,15 minute HIIT circuit,Log your water intake (aim for 100+ oz),30+ minutes cardio,Yoga routine,30+ minutes resistance training
,Max push ups,15 minute core strength workout,45+ minutes resistance training,Get active in an unusual place,Try a protein drink & share your favorite shake recipe
,
,30+ minutes resistance training,"15,000 steps",Eat a healthy salad,Yoga routine,Max tricep dips
,Three home cooked healthy meals,Train with a buddy,20+ minutes cardio,Time your best plank,15 minute core strength workout
,"Go out of your way to get extra exercise (take stairs, park in back of lot, etc.)","10,000 steps",,Log your water intake (aim for 100+ oz),Get active in an unusual place
,15 minute HIIT circuit,No processed foods,30+ minutes resistance training,25+ minute walk,30+ minutes cardio
,Max push ups,45+ minutes resistance training,30+ minutes resistance training,Try a protein drink & share your favorite shake recipe,30+ minutes resistance training
,
,"10,000 steps","15,000 steps",30+ minutes cardio,Yoga routine,Time your best plank
,30+ minutes resistance training,Three home cooked healthy meals,30+ minutes resistance training,15 minute core strength workout,15 minute HIIT circuit
,No processed foods,Log your water intake (aim for 100+ oz),,Train with a buddy,30+ minutes resistance training
,25+ minute walk,Eat a healthy salad,30+ minutes resistance training,Try a protein drink & share your favorite shake recipe,"Go out of your way to get extra exercise (take stairs, park in back of lot, etc.)"
,45+ minutes resistance training,20+ minutes cardio,Max push ups,Max tricep dips,Get active in an unusual place
,
